x,y,z
0.032516213,0.511111103,1.04E-04
0.034210679,0.512541835,1.12E-04
0.032143667,0.542867068,1.07E-04
0.013436171,0.628361213,4.64E-05
0.012183393,0.629899446,4.32E-05
0.011867273,0.627163372,4.24E-05
0.013632216,0.631803726,4.74E-05
0.012219876,0.633686761,4.35E-05
0.017638102,0.657823431,5.61E-05
0.012400397,0.661818906,4.20E-05
0.014257874,0.629935596,4.95E-05
0.033023783,0.54651087,1.10E-04
0.047265593,0.533197229,1.49E-04
0.050792923,0.551711933,1.60E-04
0.027818913,0.57461706,8.55E-05
0.041321804,0.578612994,1.25E-04
0.05076885,0.583194371,1.53E-04
0.052060758,0.569631775,1.60E-04
0.029757062,0.604381539,9.29E-05
0.023664853,0.601749464,7.72E-05
0.029178338,0.592523692,9.44E-05
0.03476977,0.600565619,1.13E-04
0.037977708,0.61186357,1.20E-04
0.022139682,0.625212351,7.31E-05
0.039939476,0.61777839,1.23E-04
0.044372877,0.605305831,1.36E-04
0.02320503,0.937070211,6.95E-05
0.011958967,0.948305506,4.00E-05
0.011805374,0.925808728,4.07E-05
0.050088283,1.234060655,2.08E-06
0.022067623,0.966543596,7.13E-05
0.011997398,0.957752184,4.01E-05
0.009621113,0.983159504,3.37E-05
0.019807399,0.978170663,6.48E-05
0.025201312,0.972374548,7.99E-05
0.027908146,0.972756479,8.27E-05
0.027942234,0.970669337,8.40E-05
0.027845818,0.965378165,8.73E-05
0.029318209,0.97381298,8.99E-05
0.029808816,0.969763095,9.37E-05
0.009546072,0.989610008,3.31E-05
0.035155577,1.166297067,3.91E-05
0.032340299,1.174573927,2.95E-05
0.040017722,1.174497063,4.50E-05
0.035006179,1.163015835,4.05E-05
0.030483504,1.146877175,4.11E-05
0.033476387,1.126385766,6.11E-05
0.028457081,1.123557013,5.74E-05
0.033440649,1.120653133,6.45E-05
0.035853481,1.12239288,6.60E-05
0.039644094,1.136244809,5.54E-05
0.035455693,1.120258952,6.68E-05
0.011961022,1.127869856,2.46E-05
